module,level_1,level_2,total
ACC1701,2,2,4
RE2705,1,0,1
RE2702,1,0,1
RE3701,2,0,2
FIN2704,1,2,3
RE3706,2,0,2
RE4809,0,0,0
MNO1706,0,0,0
RE3808,0,0,0
RE4803,0,0,0
DAO2702,0,0,0
RE3809,0,0,0
RE4701,0,0,0
RE4810,0,0,0
RE3810,0,0,0
RE4811,0,0,0
RE4808,0,0,0
DAO2703,0,0,0
MKT1705,0,0,0
RE3705,0,0,0
RE3811,0,0,0
