module,level_1,total
PF1101A,0,0
LAD2007,0,0
CDE2212,0,0
LAD4003,0,0
LAD2006,0,0
LAD3001,1,1
LAD3003,0,0
LAD4005,0,0
LAD2005,0,0
LAD1003,0,0
LAD2003,1,1
LAD4010,0,0
DTK2234,0,0
EG1311BE,0,0
LAD2009,0,0
LAD3005,0,0
LAD4008,0,0
EG1311,0,0
LAD1005,0,0
CDE2501,0,0
LAD2004,0,0
LAD2010,0,0
LAD3002,1,1
AR2524,0,0
LAD2008,0,0
LAD1001A,0,0
