course,type,code,description
economics,core,23071,"This course is the second part of a two-course Macroeconomics sequence. The aim of the sequence is twofold. First, it is to introduce students to modern macroeconomic theory, in particular formal macroeconomic models built on microfoundations. Second, it is to develop a deep understanding of macroeconomic phenomena such as business cycles, long-term economic growth, and the process of economic development, as well as macroeconomic policy issues, such as the impact of fiscal and monetary policy on the economy and the design of a social security system or an unemployment insurance scheme. This second part of the sequence first reviews the topics of consumption and savings, investment, and the labor market covered in ECON 112 (Macroeconomics 1) and enriches the analysis by considering the impact on consumption and investment decisions of (a) imperfections of the financial sector, for instance leading to the existence of credit constraints, (b) uncertainty, and (c) adjustment costs, as well as by introducing the flow approach to the labor market and using the search and matching framework to understand labor market data and policies. The course then introduces the notion of money and considers the role of financial intermediaries, which are then used to study the long-term impact of monetary policy as well as the role of banking supervision and macro-prudential regulation. The course finally studies business cycles and covers the measurement of cycles, reviews the main existing theories and their policy prescriptions, with a particular emphasis being put on severe recessions or depressions. Course Learning Outcomes By the end of the course students will have had a firm grasp of the key concepts and issues in macroeconomics. They should have an in-depth understanding of the foundational macroeconomic models and be able to apply them in their thinking and analyses of economic problems. Grading Basis GRD - Graded Course Units 1"
economics,elective,23131,"This course introduces the concepts of random sampling, statistical inference and sampling distribution. Several computer intensive methods and nonparametric approach are also discussed. Topics include statistical inferences, maximum likelihood methods, consistency and efficiency, UMVUE, confidence intervals estimation, Neyman-Pearson lemma, likelihood ratio test, information criteria, goodness-of-fit, contingency tables, EM algorithm, bootstrap and Markov Chain Monte Carlo, etc. Course Learning Outcomes DSA201 students will learn: Core ideas of statistical inference. Statistical methods that enhance their data analysis capabilities. To build intuition in estimation, hypothesis testing, confidence intervals, Bayesian methods, and resampling methods by solving problems, not memorizing formulas. How parametric and nonparametric methods work, as well as their application to real-world data. To use Python for basic linear algebra and statistical computations. Grading Basis GRD - Graded Course Units 1"
economics,elective,23121,"This course will guide the students through the application of cutting-edge statistical methods to big data analysis by implementing R-programming. The use of programming R is integrated into most topics of the course. Topics include R-programming, Statistical Inference, Statistical Modelling, Linear Regression, Resampling Methods, Linear Model Selection and Regularization, Tree-based methods, Cluster Analysis etc. Course Learning Outcomes Upon completion of this course, students will be able to: Appreciate statistical modelling . Be familiar with statistical software R to deal with statistical issues Apply Generalized Linear Regression approaches . Use cross-validation and the Bootstrap . Select the best linear model and apply regularization . Use Tree-Based methods Grading Basis GRD - Graded Course Units 1"
economics,elective,23141,"This course will guide students to retrieve and prepare data for visualisation. The course also introduces several state of the art data analysis approaches to handle various types of data by implementing R-programming. The use of programming R is integrated into most topics of the course. Topics include Data visualization, data wrangling, interactive data graphics, database querying using SQL, database administration, spatial data, network science, etc. Course Learning Outcomes DSA212 students will learn: To import and examine data. To create a variety of complex and interactive data visualizations. To wrangle datasets into a form convenient for analysis. To master the fundamentals of R and SQL and how to apply them to solve real-world data problems. To create, and retrieve data from, efficient SQL databases. To work with spatial data and understand and utilize basic concepts of network science. Grading Basis GRD - Graded Course Units 1"
economics,elective,24041,"This course covers predictive models, including stationary and non-stationary autoregressive moving average models, vector autoregressions, and vector error correction models with applications to Singapore data. It also covers important ideas in forecasting, such as loss functions, forecast uncertainty, and forecast evaluation. Course Learning Outcomes By the end of this course, students will be able to Understand and describe the differences between time series and cross-sectional data Be able to articulate the significance and implications of time series data properties focusing on stationarity, autocorrelation, cointegration, cyclicality and trends, and be able to perform tests for the forgoing in practical datasets Build time series models with multiple endogeneous variables (ECMs, VAR, VECM) as well as multiple endogeneous variables with exogeneous variables, with Climate Change Models as well as GARCH as case studies Build time series models involving exogeneous variables via time series regression (ARIMA-X), and appreciate CAPM as a case study from both statistical and economic perspectives Build time series models with multiple endogeneous variables (ECMs, VAR, VECM) as well as multiple endogeneous variables with exogeneous variables, with Climate Change Models as well as GARCH as case studies Be proficient (by the end of the course) in utilizing Python (Pandas, Numpy and StatsModel packages) for time series data and modelling, with a secondary focus on R Grading Basis GRD - Graded Course Units 1"
economics,elective,24061,"This course introduces the use of statistical concepts and methods to model and analyse financial data. It begins with basic concepts in finance, focusing on the properties of returns on an asset and portfolio theory. Several models, such as capital asset pricing model, market model, single-index model, for financial data are then discussed. In addition to the basic concepts covered, the course focuses on some more advanced topics in an applied setting, such as large covariance matrices, shrinkage estimation, copulas, GARCH, simulation, and optimization methods. Course Learning Outcomes Upon completion of the course students are expected to be able to write R codes to analyze financial data. They will be able to create and fit models to extract and analyze results. They will learn applications of portfolio management and volatility modelling. They will use these models to analyze financial risks, including the evaluation of VaR and ES, and do back-testing and stress testing. Grading Basis GRD - Graded Course Units 1"
economics,elective,24071,"This course introduces statistical concepts and basic tools involved in modelling and analyzing spatial data: Data that are correlated in ‘space’, arising in regional and urban economics, epidemiology and public health, environmental science, ecology, biology, geology and other disciplines. An outline is given to the three types of spatial data: geostatistical data, lattice data and point patterns. Emphasis is on the analysis of lattice data due to its close ties with regional science and economics. Exploratory spatial data analysis methods, including various plots and tests for spatial autocorrelation, are introduced. Some standard spatial linear regression models and spatial panel data models are also discussed. Quasi-maximum likelihood and GMM methods are used for model estimation and inferences. Real data analyses using R are presented throughout the course. Course Learning Outcomes We will cover the following topics: 1. Spatial Data in R: Vector and Raster 2. Handling geometry operations and coordinate reference systems 3. Making maps, a.k.a. the ancient art of cartography 4. Spatial descriptive measures and point pattern analysis 5. Areal data analysis and spatial models 6. Engaging in geostatistical analysis Grading Basis GRD - Graded Course Units 1"
economics,elective,24081,"This course introduces basic principles for analyzing social and economic network data. Network structure is an important determinant of how societies and economies function. Network models are important tools in predicting, e.g., the spread of disease, the dissemination of information, the behavior of people, and how markets function. Grading Basis GRD - Graded Course Units 1"
economics,elective,24091,"This course introduces models and methods for analysing panel and longitudinal data that arise from repeated measurements taken from cross-sections of subjects. These models and data have found substantive applications in many disciplines within the social and biological sciences where the describers “panel” and “longitudinal,” respectively, arise. This course is primarily oriented to applications in business, economics, education, sociology, etc. Common models include fixed effects models, random effects models, and correlated random effects models. Major inference methods such as (quasi) likelihood and GMM will be introduced. Brief introductions to the dynamic panel data models, and panel data models with limited dependent variables are also included. This course emphasizes on models and their applications with Python. Course Learning Outcomes The main objectives are to learn important panel econometrics and data analysis techniques, and to master a powerful and important programming language, Python, for real world applications. Upon completion of the course, students will be skilful in using Python to carry out basic statistical analyses by graphical techniques and descriptive summaries linear regression analyses of cross-section or time series data analyses of pooled cross-section and time series (panel) data formal analyses of panel data with fixed effects or random effects, including specification tests empirical applications and robust analyses of panel data under heteroskedasticity and serial correlation Grading Basis GRD - Graded Course Units 1"
economics,elective,24101,"The rapid computerization of every aspect of life resulted in big data possessing the following features: volume, variety, velocity, and veracity (the 4Vs). Big data can be structured, unstructured or semi-structured, and the sources of big data are typically through social networks, media, and data warehouses. This course begins with a brief introduction to the Big Data world. It then introduces the current state of Big Data processing using the R programming language and its powerful statistical capabilities. It introduces the core methods for big data analysis including data mining and machine learning. Course Learning Outcomes DSA306 students will learn: To utilize big data opportunities and understand relevant tools for data-driven decisions. To use big data data from multiple sources, and in different formats, in Apache Spark. To wrangle and perform EDA on petabyte-scale data in Apache Spark. To fit statistical models to extract information and predict outcomes, and automate the process in production-ready workflows, in Apache Spark. process in production-ready workflows, in Apache Spark. To use Apache Spark for batch and real-time streaming data processing. To communicate their results using GitHub and GitHub Pages. Grading Basis GRD - Graded Course Units 1"
